variation of crane inner and outer radius for the plantMachine
meanProd 	 stdOfMean	 stdOverall 	 InnerR 	 OuterR
####
591.21887	9.94023	57.96102	3.00000	9.00000
618.28637	9.81117	65.81536	3.00000	9.25000
637.98876	9.89506	78.53963	3.00000	9.50000
647.82556	9.51629	28.54888	3.00000	9.75000
680.80440	9.91345	72.84870	3.00000	10.00000
696.25958	9.78929	44.86016	3.00000	10.25000
697.29726	9.79480	61.94777	3.00000	10.50000
702.43869	9.99924	62.44525	3.00000	10.75000
726.95707	9.71085	47.57323	3.00000	11.00000
737.32916	9.87152	53.15978	3.00000	11.25000
740.47595	9.97266	45.70049	3.00000	11.50000
754.34613	9.85356	38.16268	3.00000	11.75000
609.71582	9.89550	65.63929	3.25000	9.00000
616.11557	9.81521	57.23199	3.25000	9.25000
