outputFiles/varyCraneRadiusPMachine_Mon_May_30_08:42:33_2011.txt
variation of crane inner and outer radius for the plantMachine
iter	meanProd 		stdOfMean 		stdOverall 		InnerR 		 	OuterR
####
15		558.421472		18.716545		72.488867		4.000000		9.000000
15		597.529851		16.212157		62.789416		4.000000		9.083333
15		622.507175		15.607339		60.446965		4.000000		9.166667
15		581.803413		18.205412		70.509259		4.000000		9.250000
15		602.369226		13.135437		50.873330		4.000000		9.333333
15		634.642310		11.194753		43.357092		4.000000		9.416667
15		642.839493		14.506861		56.184832		4.000000		9.500000
15		622.874396		14.397977		55.763125		4.000000		9.583333
15		613.422996		15.716687		60.870466		4.000000		9.666667
15		653.824249		13.179044		51.042220		4.000000		9.750000
15		668.700781		15.613450		60.470632		4.000000		9.833333
15		646.604223		10.317040		39.957725		4.000000		9.916667
15		668.041730		12.694027		49.163755		4.000000		10.000000
15		653.918474		15.697616		60.796604		4.000000		10.083333
15		659.308109		12.040820		46.633895		4.000000		10.166667
15		643.535627		14.294558		55.362586		4.000000		10.250000
15		682.525630		12.824661		49.669700		4.000000		10.333333
15		681.580068		11.083891		42.927726		4.000000		10.416667
15		703.815444		14.642165		56.708861		4.000000		10.500000
15		684.928204		9.964332		38.591691		4.000000		10.583333
15		684.585633		15.111244		58.525596		4.000000		10.666667
15		675.584893		10.099716		39.116033		4.000000		10.750000
15		703.875218		15.769921		61.076642		4.000000		10.833333
15		715.386970		13.019322		50.423617		4.000000		10.916667
15		708.798782		14.393351		55.745208		4.000000		11.000000
15		704.930639		14.148572		54.797184		4.000000		11.083333
15		725.894632		12.526096		48.513361		4.000000		11.166667
15		745.046022		10.140590		39.274337		4.000000		11.250000
15		712.348541		11.282091		43.695350		4.000000		11.333333
15		707.212666		10.977304		42.514915		4.000000		11.416667
15		731.441547		11.846711		45.882114		4.000000		11.500000
15		755.242667		11.661008		45.162891		4.000000		11.583333
15		741.549416		13.629305		52.786072		4.000000		11.666667
15		749.529570		10.625621		41.152852		4.000000		11.750000
15		734.400289		13.072821		50.630819		4.000000		11.833333
15		746.320624		12.501016		48.416228		4.000000		11.916667
15		755.973798		14.153724		54.817139		4.000000		12.000000
