outputFiles/varyCraneRadiusPMachine_Tue_May_31_17:01:04_2011.txt
variation of crane inner and outer radius for the plantMachine
iterations		meanProd 		 stdOfMean 		 stdOverall 		 InnerR 		 OuterR
####
15		668.488689		0.000000		0.000000		4.000000		9.000000
15		688.303564		0.000000		0.000000		4.000000		9.083333
15		672.542859		0.005605		0.021710		4.000000		9.166667
15		648.640210		0.029945		0.115977		4.000000		9.250000
15		648.786196		0.340723		1.319613		4.000000		9.333333
15		650.044823		0.000000		0.000000		4.000000		9.416667
15		723.107146		0.075571		0.292685		4.000000		9.500000
15		659.081979		0.043588		0.168817		4.000000		9.583333
15		674.598164		0.080026		0.309938		4.000000		9.666667
15		744.655712		0.080158		0.310451		4.000000		9.750000
15		731.963635		0.026186		0.101419		4.000000		9.833333
15		726.059490		0.054775		0.212144		4.000000		9.916667
15		729.221393		0.089790		0.347756		4.000000		10.000000
15		703.170767		0.047352		0.183394		4.000000		10.083333
15		716.660499		0.039996		0.154902		4.000000		10.166667
15		772.980826		0.124158		0.480861		4.000000		10.250000
15		791.620789		0.047535		0.184102		4.000000		10.333333
15		786.261232		0.230026		0.890887		4.000000		10.416667
15		773.257624		0.011623		0.045016		4.000000		10.500000
15		778.515580		0.007971		0.030871		4.000000		10.583333
15		775.665210		0.062720		0.242914		4.000000		10.666667
15		806.597943		0.039807		0.154173		4.000000		10.750000
15		792.798763		0.047315		0.183249		4.000000		10.833333
15		754.106188		0.102838		0.398288		4.000000		10.916667
15		753.292704		0.102624		0.397460		4.000000		11.000000
15		805.733459		0.032580		0.126183		4.000000		11.083333
15		761.443936		0.026203		0.101485		4.000000		11.166667
15		739.532569		0.044936		0.174037		4.000000		11.250000
15		810.626048		0.046000		0.178156		4.000000		11.333333
15		723.121710		0.036206		0.140224		4.000000		11.416667
15		768.638989		0.117679		0.455770		4.000000		11.500000
15		797.274003		0.066084		0.255941		4.000000		11.583333
15		782.928547		0.048042		0.186068		4.000000		11.666667
15		834.299793		0.084257		0.326327		4.000000		11.750000
15		833.085897		0.066213		0.256441		4.000000		11.833333
15		831.032200		0.082749		0.320486		4.000000		11.916667
15		812.248701		0.947377		3.669175		4.000000		12.000000
