outputFiles/varyCraneRadiusPMachine_Wed_Jun_1_14:00:21_2011.txt
terraintype: 1variation of crane inner and outer radius for the plantMachine
iterations		meanProd 		 stdOfMean 		 stdOverall 		 InnerR 		 OuterR
####
20		668.455789		0.032067		0.143407		4.000000		9.000000
20		670.640042		0.000000		0.000000		4.000000		9.214286
20		651.187123		0.061131		0.273385		4.000000		9.428571
20		674.697673		0.066645		0.298046		4.000000		9.642857
20		731.797541		0.018722		0.083728		4.000000		9.857143
20		715.543604		0.129694		0.580007		4.000000		10.071429
20		788.836627		0.051025		0.228191		4.000000		10.285714
20		773.274381		0.001289		0.005764		4.000000		10.500000
20		788.152216		0.084716		0.378862		4.000000		10.714286
20		754.014112		0.094259		0.421538		4.000000		10.928571
20		739.761397		0.030782		0.137663		4.000000		11.142857
20		795.748954		0.058273		0.260605		4.000000		11.357143
20		820.077573		0.561864		2.512731		4.000000		11.571429
20		833.774520		0.049534		0.221521		4.000000		11.785714
20		812.783302		0.971611		4.345174		4.000000		12.000000
