outputFiles/varyCraneRadiusPMachine_Thu_May_26_10:44:39_2011.txtvariation of crane inner and outer radius for the plantMachine
meanProd 	 stdOfMean	 stdOverall 	 InnerR 	 OuterR
####
560.03893	17.75038	56.13163	4.00000	9.00000
580.99823	30.25210	95.66554	4.00000	9.08333
625.75598	23.14269	73.18361	4.00000	9.16667
597.19597	16.42017	51.92514	4.00000	9.25000
610.45820	20.22702	63.96345	4.00000	9.33333
609.39064	21.54702	68.13767	4.00000	9.41667
633.73565	15.33683	48.49933	4.00000	9.50000
652.07031	16.30660	51.56600	4.00000	9.58333
622.02053	13.33763	42.17729	4.00000	9.66667
627.81294	25.12084	79.43908	4.00000	9.75000
653.03817	19.77194	62.52435	4.00000	9.83333
645.18680	11.68559	36.95308	4.00000	9.91667
650.06766	12.46720	39.42474	4.00000	10.00000
638.02344	12.24727	38.72926	4.00000	10.08333
659.23414	18.19339	57.53255	4.00000	10.16667
693.45120	13.66159	43.20173	4.00000	10.25000
667.76257	17.02242	53.82963	4.00000	10.33333
674.35064	15.42441	48.77627	4.00000	10.41667
690.26592	10.11770	31.99498	4.00000	10.50000
665.29000	12.39591	39.19930	4.00000	10.58333
656.54686	23.50863	74.34082	4.00000	10.66667
705.41558	18.43580	58.29913	4.00000	10.75000
746.11412	8.53021		26.97490	4.00000	10.83333
721.92925	16.33061	51.64193	4.00000	10.91667
740.62555	14.86727	47.01444	4.00000	11.00000
733.27484	12.99669	41.09913	4.00000	11.08333
717.46509	12.93717	40.91093	4.00000	11.16667
686.14755	15.93917	50.40407	4.00000	11.25000
708.88613	15.51984	49.07803	4.00000	11.33333
743.48184	11.96776	37.84537	4.00000	11.41667
727.81566	18.92756	59.85419	4.00000	11.50000
782.93137	11.60351	36.69351	4.00000	11.58333
737.56585	13.56783	42.90524	4.00000	11.66667
735.45583	17.06629	53.96835	4.00000	11.75000
710.21748	15.16150	47.94487	4.00000	11.83333
756.35059	9.44274		29.86058	4.00000	11.91667
762.51343	14.59473	46.15259	4.00000	12.00000
