outputFiles/varyCraneRadiusPMachine_Wed_May_25_14:08:51_2011.txtvariation of crane inner and outer radius for the plantMachine
meanProd 	 stdOfMean	 stdOverall 	 InnerR 	 OuterR
####
599.22157	16.10624	50.93240	3.00000	9.00000
579.47951	13.27366	41.97499	3.00000	9.25000
666.99524	21.31494	67.40376	3.00000	9.50000
659.74055	26.51165	83.83721	3.00000	9.75000
677.51332	21.32233	67.42713	3.00000	10.00000
679.12160	16.76821	53.02573	3.00000	10.25000
723.63190	9.15159		28.93986	3.00000	10.50000
728.60216	9.47151		29.95154	3.00000	10.75000
731.43508	15.14158	47.88187	3.00000	11.00000
724.04770	15.53623	49.12988	3.00000	11.25000
717.23104	14.35329	45.38908	3.00000	11.50000
752.67446	15.89634	50.26865	3.00000	11.75000
582.83798	17.68940	55.93879	3.25000	9.00000
612.65395	15.69316	49.62613	3.25000	9.25000
685.38922	14.97934	47.36884	3.25000	9.50000
648.48994	18.28515	57.82271	3.25000	9.75000
701.10005	13.86552	43.84662	3.25000	10.00000
679.42565	22.70317	71.79373	3.25000	10.25000
693.24187	18.84007	59.57753	3.25000	10.50000
736.09805	10.48466	33.15542	3.25000	10.75000
722.35222	9.05756		28.64252	3.25000	11.00000
738.94559	13.10218	41.43275	3.25000	11.25000
730.52901	18.48444	58.45293	3.25000	11.50000
762.60923	9.88646		31.26374	3.25000	11.75000
607.12603	11.08774	35.06252	3.50000	9.00000
618.74518	21.04642	66.55462	3.50000	9.25000
630.17222	21.98663	69.52783	3.50000	9.50000
654.59781	20.29814	64.18837	3.50000	9.75000
679.50274	18.87073	59.67448	3.50000	10.00000
692.92162	14.33195	45.32161	3.50000	10.25000
686.79071	20.66686	65.35436	3.50000	10.50000
726.08745	11.23227	35.51955	3.50000	10.75000
717.11417	14.39029	45.50610	3.50000	11.00000
724.22183	18.31102	57.90452	3.50000	11.25000
707.96349	6.65955		21.05935	3.50000	11.50000
757.00243	7.89496		24.96606	3.50000	11.75000
600.06564	17.16838	54.29119	3.75000	9.00000
606.92432	17.71616	56.02342	3.75000	9.25000
649.66530	15.82713	50.04977	3.75000	9.50000
634.80227	19.62817	62.06974	3.75000	9.75000
677.13765	11.02794	34.87341	3.75000	10.00000
713.07974	9.44619		29.87146	3.75000	10.25000
685.49771	15.94450	50.42093	3.75000	10.50000
722.26888	16.07593	50.83656	3.75000	10.75000
679.21427	14.70202	46.49188	3.75000	11.00000
742.86262	13.75262	43.48961	3.75000	11.25000
741.40513	14.05173	44.43548	3.75000	11.50000
739.30381	10.00700	31.64492	3.75000	11.75000
