outputFiles/varyCraneRadiusPMachine_Wed_Jun_1_09:53:11_2011.txt
variation of crane inner and outer radius for the plantMachine
iterations		meanProd 		 stdOfMean 		 stdOverall 		 InnerR 		 OuterR
####
2		690.657740		0.000000		0.000000		3.000000		9.000000
2		717.728144		0.000000		0.000000		3.100000		9.000000
2		719.271279		0.883200		1.249033		3.200000		9.000000
2		720.777236		0.144308		0.204082		3.300000		9.000000
2		699.474099		0.000000		0.000000		3.400000		9.000000
2		689.807461		0.000000		0.000000		3.500000		9.000000
2		689.704489		0.000000		0.000000		3.600000		9.000000
2		691.131080		0.000000		0.000000		3.700000		9.000000
2		692.135388		0.000000		0.000000		3.800000		9.000000
2		693.301510		0.000000		0.000000		3.900000		9.000000
2		668.159691		0.232637		0.328998		4.000000		9.000000
