outputFiles/varyCraneRadiusPMachine_Tue_May_31_09:05:31_2011.txt
variation of crane inner and outer radius for the plantMachine
iterations		meanProd 		 stdOfMean 		 stdOverall 		 InnerR 		 OuterR
####
50		593.315474		9.189708		64.981049		3.000000		9.000000
50		604.418398		8.559426		60.524279		3.100000		9.000000
50		590.821494		9.238277		65.324483		3.200000		9.000000
50		601.486817		9.029970		63.851529		3.300000		9.000000
50		598.930716		7.982177		56.442513		3.400000		9.000000
50		612.100427		7.930868		56.079706		3.500000		9.000000
50		614.401535		7.993017		56.519166		3.600000		9.000000
50		580.015073		8.181622		57.852806		3.700000		9.000000
50		593.671251		8.311301		58.769775		3.800000		9.000000
50		581.615842		8.885850		62.832449		3.900000		9.000000
50		569.201524		10.037485		70.975735		4.000000		9.000000
