outputFiles/varyCraneRadiusPMachine_Wed_Jun_1_14:43:41_2011.txt
terraintype: 1variation of crane inner and outer radius for the plantMachine
iterations		meanProd 		 stdOfMean 		 stdOverall 		 InnerR 		 OuterR
####
2		690.390458		0.188997		0.267282		3.000000		9.000000
2		716.654084		0.759475		1.074060		3.100000		9.000000
2		720.845695		0.230081		0.325383		3.200000		9.000000
2		720.981317		0.000000		0.000000		3.300000		9.000000
2		699.474099		0.000000		0.000000		3.400000		9.000000
2		689.807461		0.000000		0.000000		3.500000		9.000000
2		689.704489		0.000000		0.000000		3.600000		9.000000
2		691.131080		0.000000		0.000000		3.700000		9.000000
2		692.135388		0.000000		0.000000		3.800000		9.000000
2		693.301510		0.000000		0.000000		3.900000		9.000000
2		668.172320		0.241566		0.341626		4.000000		9.000000
