39451 50 40104120090100     0400153213038215703451512330439170
3451001101002321130285190070110145135080 247     075              03090263
3451002206204609610132085006017033009    120                      00330027
3451003109803020538297160070095130115090 247     090              02450197
3451004114904622430298160080095140120090 250  090                 03050257
3451005216703811210157085003036048023001 110                      00460038
3451006217901009409125090005030035010    120                      00350028
3451007219302109110118075016032028005    110                      00280022
3451008221102713412196115019026090065003 120                      00830069
3451009130303430545349200100115180160140 350  100140              06720570
3451010237302914213186090010030060040005 130                      00730060
3451011244402407810114060006016014001    110                      00170013
3451012147002727648347210060120180160145 350  115145              05610466
3451013101507823729307180085095150135100 250  085100              03750324
3451014105808421429304160075095135125090 240  095                 02780234
3451015110906522430288150040090120105075 240     075              02890243
3451016212309915115183125011034100080016 120                      01130092
3451017118807327136384180100115160140125 377     125              04970424
3451018124206134550415210080115190170150 370  110150              08940763
3451019230206109707127090006027030009    110                      00360031
3451020130508625539358220105115190170150 360  100150              05020427
3451021234107008307120080005017023002    110                      00240020
3451022235405211511150095006028032022001 110                      00520043
3451023135506035035423220045105190170150 370  105150              09790874
3451024239606011011152085004018045022002 120                      00430035
3451025140406325946341200075110170150125 350  100125              04710388
3451026142709331356388210085115180160140 350  095140              07150591
3451027201812617412244150011019110090050 120  050                 01750151
3451028104213830250388210085120190170145 370  095145              06770566
3451029207411014113165110009014060030004 120                      00860071
3451030108610923131310180075080160140110 240  100110              03470296
3451031117210136448458220090090200180160 260  120160              10170884
3451032218711514710210115004017065050010 120                      00970084
3451033224711226420360210016026180160130 130  130                 05290451
3451034227610313411180105006025070045003 120                      00760064
3451035128412326539319190080100170150130 240  100130              04810407
3451036233013216012212140004022105085040 120  040                 01400120
3451037135711529340402220085125190170150 350  115150              06790586
3451038238313918313224170005023130105060 230  060                 02210190
3451039140412312914188130070115085065007 120                      00910078
3451040247413905707084046006021003       120                      00080006
3451041247614009311131080010027030012    133                      00300024
3451042149510026636350200095145180160135 340  110135              05320456
3451043100518219826284150090110130115075 362  090                 02320196
3451044112118833356430210045110180170153 357     150              08130679
3451045216416535326446240005036210200180 140  105150              10170871
3451046221815810309134090004019040015    114                      00400033
3451047122717131639393240090125210190170 370  120170              08530749
3451048227716710307145115009049045025    110                      00540047
3451049228315106906095060008027005       110                      00140011
3451050229815416610237170012026140110055 120  055                 01880165
3451051232818718113240170014030125100070 120  070                 02190188
3451052134417031741415230080140200180160 360  130160              08380729
3451053234715708807125090004041025002    110                      00310026
3451054138716633255385200090125180160135 360  115135              07930660
3451055145015025234327180075105160140130 450  085115              04240362
3451056148017229344356210085110180160140 350  100135              06390543
3451057103021127738336190095110170150135 470  110130              05350457
3451058203720310813135075002011030018    110                      00370028
3451059107020727335371200095095170145120 150  100120              05360464
3451060213420217112198110009019085065022 120                      01220104
3451061118622633656417210070100180170150 460  105140              08200687
3451062219424715911200145019019085065021 130                      01440124
3451063128321535225460220075095200190170 380  110170              10040919
3451064132122533442410220095120190170150 360  110145              08860772
3451065139223735444483220085120200180160 360  120160              09960869
3451066244821011608160090005009045028001 120                      00490042
3451067146321830545368190075085175150130 350  085110              06270531
3451068105027629242409190080115170150125 250  110125              05950505
3451069107928531443387210100135190180150 376  135150              07600653
3451070125825731141397200090105180170150 260  105145              07010604
3451071228325213613212115018029085050003 120                      00860070
3451072139228738342515220085135200180160 460  095160              11961057
3451073239327806708090065010032003       110                      00140011
3451074140826218524246160050115120100045 230  050                 02130181
3451075244025812113160130015025075040    120                      00800064
3451076100133730551392210085115190170150 476  095150              06860573
3451077205434727316343210015038180160125 130  095110              05640497
3451078215633310008140090006021032013    110                      00380032
3451079116531231141418200090115170160130 460  115130              07080610
3451080218532216413252140004019100075023 130                      01460123